첵제목,작가명,내용요약
상황윤리,이상하 지음,"서양 규범윤리 이론들은 과거 특정 지역의 시대적 요청에 의한 산물이다. 시대적 고민과 배경은 배제되고 문제적 상황의 요인이 그 이론에 의해 가려진 채 윤리 담론이 진행된다면, 그것은 이 시대 ‘자기 사유의 부재’를 증명하는 것이다."
세계 천연가스시장 구조변화에 대응한 천연가스 산업경쟁력 강화방안 연구(1/3),"최봉석, 노남진",규제당국은 산업체와 도시가스 공급자 간의 적정 요금과 계약 체계를 구축하여 수요의 안정적 확보와 이탈 완화를 해야 한다. 또한 친환경적 천연가스 산업의 지원과 경쟁력의 확보가 필요하다.
육아정책포럼 제43호(봄호),,"공·사립 유치원 간 건물 환경에 차이가 있었다. 유치원이 어린이집에 비해 큰 규모가 많아 사용하는 층도 더 많고, 단독건물인 경우가 많아 지하층을 잘 활용했다."
지속가능발전목표(SDGs) 데이터 세분화와 항목 표준화 연구,박영실,"무응답 대체 방법은 결정론적 대체법과 확률적 대체법으로 나뉜다. 결정론적 대체는 주어진 응답자의 자료에 대해 하나의 대체 값으로 결정되지만, 확률적 대체는 랜덤성을 부여하여 대체될 때마다 다른 값으로 대체된다. 이 중 평균 대체, 핫덱대체, 회귀 대체 등이 주로 이용되며 대체 방법마다 효과가 다르기 때문에 조사의 성격 및 무응답 특성을 고려해 취사 선택하여 무응답으로 인한 조사의 오류를 최소한으로 해야 할 것이다."
DNA데이터베이스와 프라이버시권 : 사회안전과 개인정보자기결정권을 중심으로,,"위험에 대한 인식으로 인해 범죄만이 아니라 모든 예측 불가능한 영역을 불안요소로 여기고 안전을 추구하게 된다. 그러나 이것은 객관적 안전과는 관련이 없다. 안전은 객관적인 것이 아니라, 주관적인 내적인 감정에서 시작된다."
주관적 웰빙 측정결과,심수진,"'사회통합실태조사'는 자료 부족으로 안정성, 정확성을 판단하기 일러, 한국사회에서의 일반적인 내용이라고 주장하기 어렵다. 따라서 추가 연구가 필요하지만, 주관적 웰빙에 대한 다각화된 분석이라는 점에서 의미가 있다."
한국의 형사사법개혁,한국형사정책연구원,일제 강점기에 일본은 식민지 조선을 경찰력을 이용해 통치하고 억압했고 경찰에게 강력한 권한을 부여하였으며 경찰은 조선인들에게 합법적으로 매질을 할 수 있었다. 
교육정책포럼 2014년 통권258호,,교사는 가르치는 것 뿐 아니라 배워야한다고 한다. 여기서 공동체를 통해 전통적인 수업에서 새로운 수업으로 나아가야 한다고 한다.
공공갈등 영향분석제도의 운영활성화 방안에 관한 연구,윤종설,"사회적 갈등은 포괄적인 정의 아래 여러 구성요소들을 근거로 하여 사회, 공공, 정부 갈등 등으로 나뉜다. 본 연구는 공공사업 수행 중 일어난 공공갈등의 영향분석을 대상으로 한다."
혼합 MDCEV 모형을 이용한 발전사업자의 최적 재생에너지 포트폴리오 구성에 관한 연구,,자가발전 사업자는 발전설비를 갖추기에 유리한 태양광을 선호한다. 공공 발전 사업자는 현실적인 어려움이 덜한 풍력을 선호한다. 민간발전 사업자는 재생에너지 발전설비가 수익성이 좋지 않아 기피한다.
영유아기 양육형태가 아동발달에 미치는 영향,"최경덕, 안태현","본 연구는 한국아동패널(아동의 발달 척도와 아동과 아동을 둘러싼 주요 환경인 부모, 가족, 육아지원 서비스 및 학교 특성, 지역사회와 육아지원 정책 특성 정보를 제공)의 데이터를 활용했다."
문재인 정부의 新남방정책과 對아세안 북핵 외교,성기영,북한이 미사일을 시험 발사한 직후 열린 아세안지역안보포럼은 의장 성명을 통해 북한의 도발에 대해 ‘심각한 우려’를 표하고 북한을 향해 유엔 안보리 결의 준수를 촉구했다.
국민이전계정(NTA) 결과를 활용한 인구 변화의 경제 효과 분석,김현경,사회적 현물 이전 자료는 공공 이전 현물 유입 연령프로파일 작성에 필요하며 이는 가계동향조사 자료에서 찾을 수 있다. 이는 가구 내 사회적 현물 이전 금액은 가구주에게 모두 귀속된다는 가정하에 나머지 가구원들의 사회적 현물 이전 금액은 ‘0’이 되도록 처리하는 식의 결과이다.
게임물등급분류연감,게임물등급위원회,특정 월에 PC온라인 게임물의 등급분류 신청이 집중되었지만 이용저변의 확대와 다양한 융합콘텐츠 형태의 게임물이 출시되면서 이 같은 현상은 사라졌다. 아케이드 게임물은 공급이 수요를 넘어섰다.
한국 성인의 복합질환 현황과 이환 패턴 분석 연구,,"복합질환 조합은 무릎관절증과 만성요통, 류마티스 관절염과 만성요통, 당뇨병과 고혈압 질환의 상관성이 높고 만성질환과 정신질환의 복합질환은 두 질환의 인과성이 높은 고혈압과 섬망·치매·기억상실·기타 인지장애 등이 높다."
정책변화 대응을 위한 에너지수요관리 정책의 법제적 기반 및 정책수단 체계화 연구,,"정부는 고효율 에너지기자재 보급 확대를 위해 공공기관의 에너지소비효율 1등급 제품 우선 구매, 에너지 프론티어 제품의 개별소비세 면제 등 다양한 재정 지원을 실시하고 있다."
트라우마 센터에서 근무한 사회복지사들의 경험 연구 : 안산온마음센터를 중심으로,"한소정, 박미정",사회복지사들이 가진 생태체계적 관점 자체가 타전문직과 구별되는 장점이자 전문성이었으나 트라우마 센터에서는 사회복지사들이 전문성이 없다고 여기고 미자격자 취급을 했다.
외교안보연구 제8권 제1호,,"한반도는 전장 특성상 원정군 성향의 미국군과는 다른 구조를 가져야 한다. 주한미군은 '준통합사령부'의 지휘체제를 따르는 데, 한국군이 그들과의 효율적인 작동을 위해선 그에 맞는 지휘체제로 바뀌어야 할 필요성이 있다."
청소년참여법정의 성과분석 및 개선방안에 관한 연구,,"참여인단에 대한 심층면접결과 교육청을 통해, 각급 학교에서 추천학생을 선발하는 방식은 크게 각 반 공지를 통한 공개모집과 담당 교사에 의한 비공개 모집이 있다."
제5회 K-CESA 활용 대학생 핵심역량 학술대회 논문집,한국직업능력개발원,"자기관리역량의 구성요인은 주체적으로 학습하는 역량의 자기 주도적 학습, 기분을 조절하여 문제를 해결하는 정서적 자기조절, 필요한 자원을 관리하고 활용하는 능력의 목표지향적 계획수립, 책임과 권리를 알고 직업 윤리에 맞게 행동하는 능력의 직업의식으로, 총 4가지로 구성된다. "
유치원과 어린이집 교사 격차 완화를 위한 정책토론회,육아정책연구소,"사립유치원과 어린이집 교사 선발에까지 임용고시를 적용하는 것은 지원자들의 부담, 시험을 위한 추가예산 , 추후 인력배치 등의 어려움이 있습니다. 임용고시는 교육과정의 이해/암기에 도움이 된다고 생각하는데, 학부모들은 인식조사에서 공립유치원 교사의 교수방법에 대한 기대감을 가지고 있습니다. 그러므로, 교사에게 중요한 실천적 역량의 향상을 위한 지원/환경 정비가 더 필요하다고 생각합니다."
창조 행정을 지향하는 행정포커스,,"첫 번째 파동은 1930년대 조선어학회와 조선어학연구회 간의 맞춤법 통일안 제정과 관련한 논쟁이다. 이를 통해 음소적 표기와 형태음소적 표기의 논의가 이루어졌다. 한글학회의 ‘한글 맞춤법 통일안’은 큰 업적이며 조선어학연구회측의 파음 표기, 형태음소적 표기는 선택의 문제임을 확인했다."
제조물책임에 있어서 결함의 개념과 하자와의 구별,권영문,"제조물책임은 제조물의 결함에 의한 소비자의 생명·신체·기타 재산상의 손해에 대한 배상책임이고, 하자담보책임은 매매목적물의 하자로 인한 매수인의 이용불가에 대한 매도인의 책임이다."
최저생계비 이하 비수급빈곤층 인권상황 실태조사,,의료비와 교육비의 부담을 줄여 중산층의 생활 안정과 저소득층의 삶의 질을 올리는 것이 필요하다. 장기적으로 국민건강보험제도의 보장성을 선진국 수준으로 올리고 공교육을 내실화하며 교육복지에 대한 검토를 해야 한다.
중국 인터넷기업 해외진출에 따른 한중 협력방안 연구,,"온라인게임의 선도기업들은 개발실패의 리스크를 감소시키기 위해 '신속-다작개발'전략을 구사했다. 이 전략은 산업의 진입과 퇴출비용이 적고, 기술 발전 속도가 빠른 온라인게임의 특성을 이용하여 빠른 주기의 콘텐츠 제공을 위해 만들어 졌다."
학교 밖 청소년 지원 정책 체계화 방안 연구,백혜정,"지역 규모가 비슷하더라도 지역이나 기관의 특성에 따라 발굴경로에 차이가 나타난다. 대도시의 경우는 법원이나 법무부 산하기관을 통해, 중소도시는 학교를 통해, 농산어촌은 온오프라인 아웃리치나 청소년상담복지센터를 통한 발굴이 많이 이루어지는 것으로 보인다. 대도시일수록 기관을, 농산어촌일수록 아웃리치나 입소문을 통한 연계가 중요한 발굴 방법임을 알 수 있었다. "
항공교통 부문의 합리적인 재정운용 방안,,공급력 확대와 다양한 비즈니스 모델로 인한 항공사들의 경쟁 심화는 일드(Yield)의 하락과 수익성 악화로 이어져 항공운송산업계를 어렵게 하고 있다.
김정은 통치술이 북한 군사정책에 미친 영향,,"김정은은 2013년 3월 ‘경제-핵무력 병진노선’을 제시하며 “국방비를 추가적으로 늘리지 않고도 방위력을 높임으로 경제에 집중할 수 있는 방도”라고 설명했지만, 핵개발에 따른 추가 비용이 매년 10억 달러에 이를 것이기 때문에 북으로서는 쉽게 추진할 정책이 아니다."
선진국 법질서 확립 사례집,,"이 법은 증권거래법상 회계투명성의 보장을 위한 부분, 해외 공무원에 대한 뇌물공여 등에 관한 부분으로 나누어 규정하며 외국공무원과 정당원에 대한 급행료의 지급은 적용에서 제외한다. "
연구개발 투자가 한국 ICT(정보통신기술) 기업 성장에 미치는 영향,,ICT 산업에 특화된 연구개발 지원 정책 확대를 통해 ICT 산업의 경제적 성과를 높게 끌어올리고 그 파급효과로 인한 비ICT 산업의 생산성 증가까지 꾀해야 한다.
우군 건강관리를 위한 사료영양 상태 점검요령,문진산,젖소의 체점수 상태는 체중과 살붙임 정보의 변화가 가장 크다.
KDI Journal of Economic Policy=韓國開發硏究,,"Mankiw and Reis(2002) 모형을 DSGE 모형에 도입하고 정보 불완전성이 있을 때 통상의 경우와는 달리 물가 수준 타깃팅이 최적통화정책임을 밝힌 Ball, Mankiw, and Reis(2005) 등 최근, 정보 불완전성이 통화정책에 주는 효과 등의 이슈에 대해 정보 불완전성 모형을 DSGE 모형에 도입한 후의 분석 시도가 이뤄지고 있다."
이제는 신중년으로(路) : 신중년 경력개발 상담자를 위한 역량강화서,,신중년들의 재취업 일자리에 대한 의미와 추구하는 가치는 매우 다양하다. 그러므로 이들을 위한 적합한 경로 제안과 지원책을 마련토록 해야 할 것이다.
노동패널자료 연구( IV ) : 패널자료 비교연구를 중심으로,"이경희, 박문수, 이상호, 민인식",미시조사자료의 활용성 확대는 조사자료 또는 지표 간 정합성에 대한 신뢰에 기반하고 있으며 자료 간의 정합성 확인은 검토되지 않는다.
신기술 발전에 따른 산업 지형의 변화 전망과 대응전략 .제2권 :인지컴퓨팅,,"무인비행, 금융업 등 여러 분야에서 정보 처리 분석, 알고리즘 설계 및 코딩 등 로봇 및 인공지능과 연계된 새로운 인력 수요가 창출될 가능성이 존재한다."
공공수역 수질개선을 위한 공공하수처리시설 관리제도의 합리적 개선방안 연구,"김익재, 김호정, 한대호, 김교범, 곽효은",BOD 유입부하는 매년 증가한다. 공공하수처리장은 오염부하량을 낮춰 법적 기준에 부합하는 처리수를 버린다. 이에 그치지 않고 제도적 검토·개선이 있어야 처리장의 새 역할을 찾을 수 있을 것이다.
통일과 법률(제19호),,DMZ 세계평화공원 조성은 한국 경제가 대륙으로 진출하는 계기를 마련해 주며 한반도가 동북아의 허브와 물류 거점으로 발전하는 성장 동력을 제공해 줄 것이다.
하늘사랑,기상청,지구대기감시 업무는 1986년 소백산기상관측소 설립을 시작으로 현재의 안면도 기후변화감시소로 이어진다. 우리나라의 지구대기감시 능력은 세계적인 수준이며 국토 전역에 걸친 감시망을 확보하고 있다. 
기술영향평가의 실효성 제고를 위한 제도 개선방안,,2015년 법 제정에 따라 식품의약품 분야 기술영향 평가는 그 법적 근거를 갖게 되었으며 이 법의 목적에 따라 식약처의 연구개발 사업기획과 연계될 가능성을 보였다.
글로벌 기초연구정책 이슈 분석 및 플랫폼 구축 방안,,"단순하게 각국의 정책수집은 단순수집정보이고, 이를 분석하여 새롭게 창출하는 것이 의미가 있다. 따라서, 전문성과 분석력을 확보한 인재의 정보 창출이 중요히다. "
자유학기제 도입에 따른 중학교 교육과정 설계 방안,,교사들은 자유학기제가 초등에서 중등으로 전환되면서 나타나는 문제를 완화하고 교과 공부의 효율성을 높여주는 제도로 인식하고 있다. 다만 안정제 운영을 위해 정책 지원 방안을 마련해야 한다.
OECD 국제 학업성취도 평가 연구 : PISA 2012 컴퓨터 기반 평가 결과 분석,,"백분위 점수에서 남녀 간 성취도 차이를 보면 우리나라는 남학생이 상위집단의 성차로 평균이 높았으며, 스웨덴, 핀란드, 아랍에미리트는 하위집단의 성차로 여학생이 높았다. 폴란드, 미국은 성차는 작았지만 점수별 유의한 차가 있으며, 영국은 전 구간에서 차이가 없었다."
사업이전과 고용보장,,‘economic entity’ 개념은 ‘동태적 사업 개념’에서 말하는 사업 개념과 일맥상통하는 부분이 있으므로 유동적인 조직 질서를 의미하는 ‘사업체’로 번역하고자 한다.
문재인 대통령 연설문집 제2권(수석·보좌관회의 국무회의): 2019. 5. 10 ~ 2019. 5. 9,,"북한의 대화 의지와 김정은의 평화 구축 의지 천명, 북미대화 재개가 있었다. 판문점선언과 9월 평양공동선언의 이행은 남북평화의 의지이고, 남북정상회담의 여건이 마련됐다. 실질적 논의의 장이 열리기를 기대한다."
세계 장애인 여성의 건강 핸드북 (A Health Handbook for Women with Disabilities),"제인맥스웰, 줄리아왓츠벨서, 달리나데이비드","이 책에서 삶을 적극적으로 가꾸어 나가는 장애인 여성들의 모습을 통해 우리 모두가 자신의 이야기를 찾아내어 서로를 공감, 이해, 포용하는 계기가 될 것이다."
기술혁신에 따른 고용패러다임 변화와 과학기술인력 양성전략,홍성민,이러한 현상을 이해하는데 과거 '파이프라인'식 사고는 유효하지 않다. [그림 3-3]은 경로 다이어그램을 이용하여 2016년 한국 이공계인력의 직업구성을 제시한다.
"거침없이 행복하게, 행복도시 10년의 이야기 2007-2017",행정중심복합도시건설청,중앙행정기관의 이관에 대응하여 주변의 교통과 편의시설 등을 점검해야 했습니다. 이에 LH 등 유관 부서가 점검단을 조직하여 파견했습니다. 
청소년이 행복한 지역사회 지표개발 및 조성사업 연구Ⅲ : 총괄보고서,김영한,"23개 지표 중 주관적 웰빙영역 정서, 교육영역의 교육효과, 참여영역의 참여결정요인, 환경영역의 주거환경인식을 비롯한 17개는 전국 평균보다 낮다. 교육효과 및 징계소명권 역시 충북은 최하위권이다."
사회기반시설 투자정책 평가,국회예산정책처,"공공투자에 의한 사회기반시설 확충이 경제성장에 미치는 영향은 조건에 따라 달라진다. 민간투자가 미진하여 유동자금이 많은 상황에서는 재정투자가 민간투자를 구축한다고 보기는 어렵지만, 사회기반시설에 대한 재정투자는 민간투자를 유도하기 위한 선투자로 볼 수 있다."
중앙부처 세종시 이전 이후 정책결정과정 실태조사,김지영,세종시로 이전된 후에는 지리적 분산에 따른 대면접촉 기회의 부족이 발생하고 있다.  일부 국장들의 청와대나 국회 등에의 잦은 출장으로 공직자들간 대면접촉이나 상호 작용의 기회가 감소되고 이는 비정형적 정책결정의 품질 저하를 초래할 수 있다.
인권과 지방자치,,행정소송법은 효과적인 권리 구제를 위해 소송 중에 원고가 신청을 하면 청구의 기초에 변경이 없는 범위 내에서 소의 변경을 인정한다.
동북아 역내 미·중 간의 대립적 군사전략과 한국의 선택 : 서해에서의 갈등을 중심으로,,중국은 GDP에서 2016년 미국을 추월할 것이라는 IMF 전망을 인민일보는 2020년 전후에 가능하다고 전망했다.
보육정책 종합대책 수립 방안 연구,장하진,"경제사회의 변화에 따른 보육수요의 증가, 보육서비스의 다양화 요구, 가정과 일의 양립조치 수요의 전망을 살피겠다. 지속가능한 경제성장을 위해 여성의 경제활동참가율이 70%를 상회해야 한다는 것이 보육수요를 증가시키는 요인이다. 노령화, 출산율 감소에 의해 경제활동인구가 감소되기 때문이다. 현재 여성의 경제활동참가율은 비약적으로 변화하기 어려운 실정이다. 출산과 보육 시기의 여성들이 저조한 경제활동참가율을 보이고 있으므로 고학력여성을 중심으로 경제활동참가율을 증가시켜야 한다."
성별영향분석평가제도의 실효성 제고와 협력체계 활성화 방안(Ⅱ),김경희,마지막으로 3년간의 분석평가를 수행한 광역자치단체들은 결과적으로 유의미한 변화를 도출하진 못했다. 그럼에도 2015년 울산광역시는 남성노인의 참여도를 높이는 것에 주요 골자를 더했다.
한국영화수익성분석,영화진흥위원회,"2002년 한국영화계는 약500억원이 넘는 마이너스 수익을 보였고, 영상전문 투자조합들의 실적도 부진할 수 밖에 없었다. 투자자들은 지금의 수익구조가 투자자에게 불리하다고 주장하고 있는데, 극장 매출액을 극장측과 5:5로 나누고,  5~10% 수준의 배급비를 제외하고 남은 돈을 투자사와 제작사가 나누기 때문에 수익이 너무 적다고 느끼는 것이다. 2002년 개봉작중 수익을 낸 작품이 11편에 불과하다. 나머지 영화들은 손해를 본 것인데 저조한 한국영화 수익률은 투자자에게 부담으로 작용한다."
COVID-19 관련 국제 인권 규범 모음집,국가인권위원회,"이민자 구금은 최후의 수단으로 예외적인 상황에서만 사용해야 하며 합법성, 필요성 등의 요건을 충족해야 하며 자의적 구금 원칙을 벗어나지 않는 선에서 이루어져야 한다. 국제인권법은 아동 등 일부 이민자 구금을 금지하고 있다."
"20대 청년, 후기청소년정책 중장기 발전전략 연구",김지경,"프로그램의 성격에 따라 ‘미취업’이라는 상태와 함께, 니트 상태 또는 심리적 취약 상태 등 또 다른 상태를 추가적으로 고려하기도 한다."
사업장 중대안전사고의 규율 : 영국의 2007년 법인과실치사법 사례,,과실치사죄의 법인 적용 여부가 영국의 판례법에서 다뤄졌다. 법인의 책임을 물으려면 법인을 지휘하는 의지로 표현되는 개인이 확인되고 이 개인의 죄를 증명하는 확인원리가 적용되어야 한다. 단 개인의 개별적 의무에 대한 중대한 위반이 없고 행위의 총합으로 중대한 위반을 확인하는 경우 과실치사죄에 해당하지 않는다. 그러나 영국은 확인원리를 적용했다.
국제 학습성과 지표 개발을 위한 학습성과 명세화 및 국제 비교 방안 탐색,,"학생들의 읽기 문식성에 대한 연구인 PIRLS는 4학년을 대상으로 한다. 2011년에 4, 5, 6학년을 대상으로 Pre-PIRLS을 구성했다. 따라서 2006년 PIRLS와 2011 Pre-PIRLS의 평가 요소별 비율은 다소 다르다."
